,CustomerAge,PurchaseAmount,EmailOpens,Clicks,WebsiteVisits,Target,CustomerId
0,59,267.4150349728171,16,9,26,0.0,0
1,73,210.47940527668098,11,3,41,1.0,1
2,81,195.1856972682799,11,6,37,0.0,2
3,80,356.1952291704787,11,11,12,1.0,3
4,52,395.605986984101,17,8,27,1.0,4
5,72,185.31446615620496,8,4,33,1.0,5
6,90,325.0941687323788,9,7,38,1.0,6
7,72,679.0678539379724,4,14,12,0.0,7
8,60,454.23060159253527,9,13,13,1.0,8
9,60,484.02095781826364,12,10,23,1.0,9
10,60,675.278848721457,6,10,11,0.0,10
11,60,430.455294990276,4,12,13,0.0,11
12,67,667.1228682454453,2,13,13,0.0,12
13,41,476.41055275332934,16,12,23,1.0,13
14,61,354.75242357684317,17,7,38,1.0,14
15,59,413.1060370333439,9,12,13,0.0,15
16,64,415.4226953770159,6,5,34,0.0,16
17,68,761.4848181200962,10,15,11,0.0,17
18,55,623.4121988917104,6,12,12,1.0,18
19,51,394.732023837358,5,13,7,0.0,19
20,89,494.55089311942476,15,6,37,1.0,20
21,52,319.329483368099,12,8,26,1.0,21
22,65,599.8491107041327,9,19,16,1.0,22
23,51,669.6913771613229,5,15,11,1.0,23
24,69,412.32420224207794,10,7,39,1.0,24
25,56,508.85214754092124,15,7,25,1.0,25
26,43,463.8562338651476,19,6,25,1.0,26
27,68,611.3859366090702,4,13,15,0.0,27
28,48,183.88847975785222,17,10,29,0.0,28
29,72,569.6150643466685,10,3,35,1.0,29
30,58,768.5937368067098,8,13,13,1.0,30
31,93,227.11291066655446,9,7,37,1.0,31
32,74,399.23815342238095,10,8,34,1.0,32
33,54,436.8554835655472,8,13,11,0.0,33
34,63,479.71642063852664,20,7,28,1.0,34
35,62,513.598521642303,12,6,36,1.0,35
36,77,229.03370907949537,7,6,32,0.0,36
37,61,589.7433629182021,12,4,32,0.0,37
38,61,248.67680134922114,10,5,37,1.0,38
39,66,700.6569225675727,11,12,10,1.0,39
40,82,383.9203762177224,9,7,37,1.0,40
41,76,320.8534238434941,12,5,39,0.0,41
42,73,237.53723871036462,8,6,39,1.0,42
43,71,242.1309855118484,12,6,33,0.0,43
44,61,484.32637180344113,11,4,37,1.0,44
45,67,429.71089009408905,8,7,38,1.0,45
46,50,169.82185660910403,15,9,26,0.0,46
47,75,365.22195161477936,6,12,11,0.0,47
48,68,345.4321816386678,9,12,13,1.0,48
49,41,474.4460002130366,16,10,22,1.0,49
50,58,458.8222217623517,13,6,28,1.0,50
51,71,188.63118551874183,8,4,36,1.0,51
52,68,434.53233704251676,7,7,36,1.0,52
53,61,151.49131606891805,16,7,28,1.0,53
54,65,552.8354275983814,15,7,26,0.0,54
55,64,554.487535398265,16,7,24,1.0,55
56,56,652.1341650084337,7,12,8,1.0,56
57,61,763.8325715053304,8,10,7,1.0,57
58,58,507.61198490270834,13,8,23,1.0,58
59,64,515.9839022042543,15,13,28,0.0,59
60,70,439.15684677926725,13,6,36,0.0,60
61,73,309.96900712592617,11,4,39,0.0,61
62,43,216.72156640704657,14,8,26,1.0,62
63,63,320.3280107990753,9,7,35,1.0,63
64,63,417.9627607436404,12,7,24,0.0,64
65,68,194.60170255787546,16,8,25,1.0,65
66,74,286.7337159522876,15,6,38,0.0,66
67,85,389.3498227697776,10,7,41,0.0,67
68,78,274.19454827706164,8,9,39,0.0,68
69,68,448.4353981608702,12,8,41,0.0,69
70,68,762.3562539436016,8,16,13,1.0,70
71,90,526.563789194532,10,6,35,0.0,71
72,54,436.5490409329674,16,6,29,1.0,72
73,80,595.5335232320516,3,12,11,0.0,73
74,51,549.0944755359618,7,14,7,1.0,74
75,83,251.41629122098325,9,5,34,1.0,75
76,75,598.4081231591641,14,5,38,0.0,76
77,62,431.7826409862898,11,10,11,0.0,77
78,75,204.74135001329876,11,5,37,0.0,78
79,41,477.50743782206064,19,8,27,1.0,79
80,62,396.0516118222715,9,13,15,0.0,80
81,68,492.22903977517626,4,13,11,0.0,81
82,69,123.85961486258006,13,6,22,1.0,82
83,59,377.1632918448196,6,10,10,1.0,83
84,46,194.86977907235692,15,8,24,0.0,84
85,69,186.6609625975872,13,6,35,1.0,85
86,64,431.76190874519415,14,7,26,1.0,86
87,58,520.1338199435274,14,6,26,0.0,87
88,59,492.9245491193111,6,11,12,0.0,88
89,80,588.5424735919183,8,8,38,0.0,89
90,55,214.539821534462,12,9,30,0.0,90
91,84,319.44130754500736,10,6,38,1.0,91
92,67,233.86112658527253,14,6,38,0.0,92
93,51,414.0740057553093,16,11,29,0.0,93
94,71,365.73609952645035,8,9,33,0.0,94
95,61,460.50883995253037,9,7,33,1.0,95
96,67,683.2207036431499,5,12,10,1.0,96
97,57,377.39447785614476,14,5,33,1.0,97
98,55,417.53887390187606,13,9,24,1.0,98
99,52,568.272654053223,15,13,25,1.0,99
100,41,256.54151170833313,16,6,23,0.0,100
101,70,335.990329930637,13,5,33,0.0,101
102,61,661.6746472375751,4,11,8,1.0,102
103,56,609.5397033571395,8,10,11,0.0,103
104,63,397.48112322446025,6,17,12,0.0,104
